Landmark.No,X,Y,Z
1,0.575685143,0.208225608,1.33657598
2,0.61216408,0.170605958,1.25566947
3,0.63175,0.17023325,1.25638032
4,0.649825692,0.170589924,1.25642514
5,0.550186813,0.172816038,1.23875093
6,0.531311929,0.173906028,1.2399
7,0.514137208,0.174671233,1.24072111
8,0.668296576,0.180792272,0.781110883
9,0.489396274,0.188986838,0.702476263
10,0.614947677,0.239639163,1.14651811
11,0.544957161,0.243282676,1.13105547
12,0.850862384,0.362203091,0.571806967
13,0.339934856,0.377442569,0.290008038
14,0.867468774,0.652138233,0.699698806
15,0.304744214,0.633261919,0.382507414
16,0.5022645,0.7299757,1.15502191
17,0.462223351,0.798685133,0.958377481
18,0.436858445,0.788910151,1.33336306
19,0.493903875,0.878811896,1.12261784
20,0.393549442,0.771239758,1.35329366
21,0.517840743,0.866120338,1.18173122
22,0.410298616,0.754631758,1.16382015
23,0.529398561,0.837963879,0.991073668
24,0.747717142,0.761024833,0.0913177282
25,0.483252585,0.76499033,0.0903014
26,0.83837688,0.775840461,2.01788807
27,0.162322134,0.925845683,1.38867521
28,0.834167421,1.17643952,1.32779467
29,0.208954334,1.22469306,0.716004372
30,0.812048256,1.22268438,1.27843606
31,0.2497693,1.27319658,0.667182207
32,0.822885931,1.30560541,1.87536085
33,0.138571918,1.32452524,1.2679373
